# format-version: 1.2	date: 07:02:2020 10:53
name	code	definition	synonyms
gene neighbors evidence	ECO:0000084	A type of genomic context evidence in which a gene product's identity is supported on the basis of the identity of neighboring genes.	ICL|inferred from genome cluster
immunoprecipitation evidence	ECO:0000085	A type of protein binding evidence that involves precipitation of a multivalent antigen by a bivalent antibody for protein isolation.	immunoprecipitation
amplification of intermethylated sites evidence	ECO:0000086	A type of in vitro methylation assay evidence resulting from a genome-wide estimate of DNA methylation by differential enzymatic digestion of genomic DNA with methylation-sensitive and methylation-insensitive isoschizomers, followed by restrained PCR amplification of sequences methylated at both ends and resolving the PCR products in a denaturing polyacrylamide-sequencing gel to generate fingerprints that consist of multiple anonymous bands that represent the DNA methylome of the cell.	AIMS
immunolocalization evidence	ECO:0000087	A type of microscopy evidence where antibodies are used to detect the location of molecules or other structures within cells or tissues.	immunolocalization
biological system reconstruction evidence	ECO:0000088	A type of evidence that is based on a combination of experimental evidences or existing models of that system in a related species used for the reconstruction of a biological system.	inferred from system reconstruction|ISR
restriction landmark genomic scanning evidence	ECO:0000089	A type of DNA detection assay evidence resulting from the use of restriction enzymes for direct end-labeling of DNA (creating landmarks), followed by high-resolution two-dimensional electrophoresis to visualize the landmarks.	restriction landmark genome scanning evidence|RLGS evidence
immunogold labelling evidence	ECO:0000090	A type of immunolocalization evidence where the antibodies are labeled with colloidal gold particles whose location is then detected via microscopy.	immunogold labelling
epitope-tagged protein immunolocalization evidence	ECO:0000092	A type of immunolocalization evidence in which recombinant proteins fused with epitopes are recognized by antibodies.	immunolocalization of epitope-tagged protein
array-based sequence capture evidence	ECO:0000093	A type of DNA detection assay evidence evidence where gene sequence or variation is determined or detected by fluorescently-labeled DNA fragments hybridized to sequence-specific oligonucleotides immobilized on an array.	DNA microarray|oligonucleotide microarray evidence|single nucleotide polymorphism array evidence|SNP array evidence
biological assay evidence	ECO:0000094		
cell growth regulation assay evidence	ECO:0000095	A type of cell growth assay evidence that measures one or more aspects of cell growth over a specified time period to indicate an induced or repressed regulatory effect.	growth curve analysis
electrophoretic mobility shift assay evidence	ECO:0000096	A type of affinity evidence based on an electrophoretic mobility shift of macromolecules, where proteins, nucleic acids, or both, are combined and the resulting mixtures are electrophoresed under native conditions through polyacrylamide or agarose gel to detect interactions/complexes between proteins and/or nucleic acid.	electrophoretic mobility shift assay|EMSA: electrophoretic mobility shift assay|Gel retardation assay
cDNA to DNA expression microarray evidence	ECO:0000097	A type of expression microarray evidence where expression level is quantified by fluroescently-labeled cDNA (reverse transcribed from an unknown RNA sample) hybridized to DNA immobilized on a solid surface.	DNA microarray|RNA microarray
obsolete in situ hybridization evidence	ECO:0000098	A type of nucleic acid hybridization evidence based on localization of a specific segment of DNA or RNA by the application of a complementary strand of nucleic acid to which a reporter molecule is attached.	in situ hybridization
fractionation evidence	ECO:0000100	A type of direct assay evidence resulting from the separation of various cell components while preserving their individual functions.	
Affymetrix GeneChip evidence	ECO:0000101	A type of cRNA to DNA expression microarray evidence resulting from the use of a proprietary Affymetrix GeneChip System for analyzing complex genetic information.	Affymetrix array experiment evidence
co-fractionation evidence	ECO:0000102	A type of fractionation evidence resulting from a protein fractionated with other compounds, factors, or macromolecules.	co-fractionation
DNA to cDNA expression microarray evidence	ECO:0000104	A type of expression microarray evidence where expression levels are quantified by hybridization of fluorescently-labeled DNA to cDNA (reverse transcribed from an unknown RNA sample) immobilized on a solid surface.	microarray RNA expression level evidence|REM evidence|RNA expression microarray evidence|transcript levels (e.g. microarray data)
Nimblegen array evidence	ECO:0000105	A type of cDNA to DNA expression microarray evidence resulting from the use of a proprietary NimbleGen array to measure expression levels.	
northern blot evidence	ECO:0000106	A type of transcript expression evidence based on electrophoresis and probing to determine levels of RNA expression using a complementary hybridization probe on the separated RNA samples.	northern assay evidence|RNA blot evidence|transcript levels (e.g. Northerns)
reverse transcription polymerase chain reaction evidence	ECO:0000109	A type of RNA detection assay evidence where an RNA transcript is reverse transcribed into cDNA and amplified to qualitatively detect gene expression.	reverse transcription polymerase chain reaction transcription evidence|RT-PCR|transcript levels (e.g. RT-PCR)
RNA protection assay evidence	ECO:0000110	A type of nuclease protection assay evidence where mRNA is hybridized with radiolabeled RNA probes after which RNAse is added to digest the unbound, nonresistant single-stranded overhang regions, later the remaining probe target hybrids are purified and resolved on denaturing polyacrylamide gel, and quantified by autoradiography.	ribonuclease protection assay|RNA protection assay|RNAse protection assay|RPA
western blot evidence	ECO:0000112	A type of gel electrophoresis evidence where proteins are separated using gel electrophoresis and then they are blotted on a nitrocellulose or polyvinylidene difluoride (PVDF) membrane, later an antibody with a dye or an enzyme is added to the solution which is able to bind to its specific protein and this product is detected either by chemiluminescent detection technique or fluorescence imaging technique.	protein immunoblot|protein levels (e.g. Western blots)|Western blot expression analysis
expression library screen evidence	ECO:0000114	A type of protein expression evidence where a protein of interest is isolated on the basis of its hybridization to an antibody raised to a homologous protein.	expression library screening
differential hybridization evidence	ECO:0000116	A type of nucleic acid hybridization evidence in which preferential or exclusive expression of genes in one cell type or tissue is compared to another cell type or tissue when mRNA from each sample is reverse transcribed, labeled, and hybridized to a cDNA library to compare hybridization patterns.	differential hybridization
subtractive hybridization evidence	ECO:0000118	A type of nucleic acid hybridization evidence in which preferential or exclusive expression of genes in one cell type or tissue are compared to another cell type or tissue when denatured ds-cDNA from the two samples are hybridized, and the common sequences are 'subtracted'.	subtractive hybridization
over expression analysis evidence	ECO:0000120	A type of experimental phenotypic evidence in which a gene and/or gene product is investigated in a transgenic organism that has been engineered to overexpress that gene product.	analysis of overexpression/ectopic expression phenotype
protein localization evidence	ECO:0000122	A type of localization evidence where sub-cellular localization of a protein is determined.	
fusion protein localization evidence	ECO:0000124	A type of protein localization evidence resulting from the fusion of a protein of interest to a labeling protein which has enzymatic activity or fluorescence properties.	
green fluorescent protein fusion protein localization evidence	ECO:0000126	A type of fusion protein localization evidence resulting from the labeling of a protein of interest with green fluorescent protein (GFP) from the jellyfish Aequorea victoria.	GFP fusion protein localization evidence|localization of GFP/YFP fusion protein
yellow fluorescent protein fusion protein localization evidence	ECO:0000128	A type of fusion protein localization evidence resulting from the labeling of a protein of interest with yellow fluorescent protein (YFP), which was created by mutating green fluorescent protein (GFP) of the Aequorea victoria.	localization of GFP/YFP fusion protein|YFP fusion protein localization evidence
beta-glucuronidase fusion protein localization evidence	ECO:0000130	A type of fusion protein localization evidence resulting from the targeted insertion of the beta-glucuronidase (GUS) coding gene as a reporter gene for the localization of a particular gene product.	GUS fusion protein localization evidence|GUS staining evidence|localization of GUS fusion protein
beta-galactosidase fusion protein localization evidence	ECO:0000132	A type of fusion protein localization evidence resulting from the targeted insertion of the beta-galactosidase coding gene (lacZ) into a specific gene to create a beta-galactosidase-tagged fusion protein.	LacZ fusion protein localization evidence
transport assay evidence	ECO:0000134	A type of direct assay evidence resulting from the activity assessment of transport proteins.	transport assay
nucleic acid binding evidence	ECO:0000136	A type of affinity evidence resulting from the binding of a molecule to a nucleic acid.	
ribohomopolymer binding assay evidence	ECO:0000138	A type of nucleic acid binding evidence resulting from an enzyme displaying binding activity to specific ribohomopolymer.	ribohomopolymer binding assay
thin layer chromatography evidence	ECO:0000140	A type of chromatography evidence that uses a thin layer of adsorbent (such as silica gel, alumina, or cellulose) on a flat, inert substrate.	thin layer chromatography|TLC evidence
protein:ion binding evidence	ECO:0000142	A type of protein binding evidence resulting from a metal ion binding to a protein at a specific binding site.	
Southwestern blot evidence	ECO:0000144	A type of nucleic acid binding evidence in which DNA-protein binding is detected using labeled DNA as probes, hybridized to electrophoretically separated proteins.	Southwestern analysis
Northwestern blot evidence	ECO:0000146	A type of nucleic acid binding evidence in which RNA-protein binding is detected using labeled RNA as probes, hybridized to electrophoretically separated proteins.	Northwestern analysis
in vitro binding evidence	ECO:0000148		
in vitro transcription reconstitution assay evidence	ECO:0000150	A type of reconstitution assay evidence resulting from the use of reconstituted polymerase transcription systems to investigate RNA synthesis.	in vitro reconstitution assay with recombinant protein
in vitro recombinant protein transcription reconstitution assay evidence	ECO:0000152	A type of in vitro transcription reconstitution assay evidence resulting from the use of recombinant proteins in preparation of a fully-defined transcription system.	in vitro reconstitution assay with recombinant protein
heterologous protein expression evidence	ECO:0000154	A type of protein expression evidence where a gene from one cell is inserted into a cell that does not typically contain that gene and heterologous protein expression is assessed.	protein expression in heterologous system
protein separation evidence	ECO:0000156	A type of fractionation evidence resulting from the isolation of a single type of protein from a complex mixture.	
protein separation followed by direct sequencing evidence	ECO:0000158	A type of protein separation evidence that is followed by direct protein sequencing whereby a protein's amino acid sequence is determined experimentally by Edman degradation or by mass spectrometry.	protein separation and direct sequencing
protein separation followed by fragment identification evidence	ECO:0000160	A type of protein separation evidence which then utilizes the screening and identification of small-molecules that bind to proteins.	protein separation and fragment identification
heterologous system uptake evidence	ECO:0000162	A type of transport assay evidence in which the uptake mechanism of a transporter is investigated in a cell that does not normally express that protein.	uptake assay in heterologous system
electrophysiology assay evidence	ECO:0000164	A type of direct assay evidence where electrical properties of cells or tissues are studied.	
two-electrode voltage clamp recording evidence	ECO:0000166	A type of voltage clamp recording evidence which involves using two electrodes inserted into a large cell (often a xenopus oocyte) where one electrode is used to measure the internal potential (voltage) of the cell and the other electrode is used to clamp the current.	two-electrode voltage clamp technique
transcription assay evidence	ECO:0000168	A type of direct assay evidence resulting from the detection and quantification of transcribed RNA.	
transcriptional activation assay evidence	ECO:0000170	A type of transcription assay evidence in which sequence-specific binding proteins that increase transcription of a specific target gene or genes are identified, quantified, and/or analyzed.	transcriptional activation assay
biochemical trait analysis evidence	ECO:0000172	A type of experimental phenotypic evidence in which the biochemical aspect of a mutation is analyzed.	analysis of biochemical trait
mutant physiological response evidence	ECO:0000174	A type of mutant phenotype evidence in which the physiological response of a mutant when presented with an external stimulus is determined.	analysis of physiological response
mutant visible phenotype evidence	ECO:0000176	A type of mutant phenotype evidence in which traits arising from a mutation are visually examined.	analysis of visible trait
genomic context evidence	ECO:0000177	A type of similarity evidence in which the location of the gene within the genome provides insight into the gene's function or evolutionary insight.	
in vivo assay evidence	ECO:0000178	A type of direct assay evidence resulting from a sample of microorganisms or living tissue grown in a medium.	
animal model system study evidence	ECO:0000179	A type of experimental evidence arising from the investigation of an animal model system.	
clinical study evidence	ECO:0000180	A type of experimental evidence arising from a controlled investigation that uses human subjects.	
in vitro assay evidence	ECO:0000181	A type of direct assay evidence resulting from a process performed outside the living organism, where the components of an organism have been isolated from their usual biological context, to permit a more detailed or more convenient analysis in an artificial setting.	
in vitro culture assay evidence	ECO:0000182		
cell-free assay evidence	ECO:0000183	A type of direct assay evidence resulting from studies in which cytoplasmic and/or nuclear cellular components from resting, nonstimulated cells, are isolated by ultracentrifugation to provide molecular machinery that can be used in reactions in the absence of many of the other cellular components for the purpose of in vitro protein synthesis, transcription, DNA replication, etc.	in vitro assay
enzyme inhibition evidence	ECO:0000184	A type of protein inhibition evidence and enzymatic acitivty evidence where the protein under study is an enzyme.	
sequence alignment evidence	ECO:0000200	A type of sequence similarity evidence in which an annotation is made based on a manually-reviewed or published sequence alignment	
sequence orthology evidence	ECO:0000201	A type of sequence similarity evidence in which orthology is established by multiple criteria, including amino acid and/or nucleotide sequence comparisons and one or more of the following: phylogenetic analysis, coincident expression, conserved map location, functional complementation, immunological cross-reaction, similarity in subcellular localization, subunit structure, substrate specificity, and response to specific inhibitors.	ortholog evidence
match to sequence model evidence	ECO:0000202	A type of sequence similarity evidence in which the function of a gene product is predicted based on a sequence-based statistical model.	
automatic assertion	ECO:0000203	An assertion method that does not involve human review.	
author statement	ECO:0000204	An evidence type that is based on an assertion by the author of a paper, which is read by a curator.	author inference
curator inference	ECO:0000205	A type of inferential evidence that is based on a conclusion drawn by a curator.	
BLAST evidence	ECO:0000206	A type of pairwise sequence alignment evidence obtained with basic local alignment search tool (BLAST).	
nucleotide BLAST evidence	ECO:0000207	A type of BLAST evidence in which nucleotide sequences are aligned.	
protein BLAST evidence	ECO:0000208	A type of BLAST evidence in which amino acid or translated nucleotide sequences are aligned.	
BLAST evidence used in automatic assertion	ECO:0000209	A type of BLAST evidence that is used in an automatic assertion.	
nucleotide BLAST evidence used in automatic assertion	ECO:0000210	A type of nucleotide BLAST evidence that is used in an automatic assertion.	
protein BLAST evidence used in automatic assertion	ECO:0000211	A type of protein BLAST evidence that is used in an automatic assertion.	
combinatorial evidence	ECO:0000212	A type of evidence in which at least two distinct types of evidence have been integrated.	inferred from in-silico analysis
combinatorial evidence used in automatic assertion	ECO:0000213	A type of combinatorial analysis that is used in an automatic assertion.	inferred from in-silico analysis
biological aspect of descendant evidence	ECO:0000214	A type of phylogenetic evidence whereby an aspect of an ancestral gene is inferred through the characterization of an aspect of a descendant gene.	
rapid divergence from ancestral sequence evidence	ECO:0000215	A type of phylogenetic evidence characterized by long phylogenetic tree branch lengths following a duplication event.	
phylogenetic determination of loss of key residues evidence	ECO:0000216	A type of phylogenetic evidence characterized by the absence of key sequence residues.	
assertion method	ECO:0000217	A means by which a statement is made about an entity.	
manual assertion	ECO:0000218	An assertion method that involves human review.	
nucleotide sequencing assay evidence	ECO:0000219	A type of sequencing assay that determines the sequence of a biopolymer comprised of nucleotides.	DNA sequencing
sequencing assay evidence	ECO:0000220	A type of experimental evidence where the order of molecules that constitute a biopolymer is determined.	
high throughput nucleotide sequencing assay evidence	ECO:0000221	A type of nucleotide sequencing assay evidence in which a sequence is derived from a parallelized sequencing technique.	next generation sequencing evidence
Illumina sequencing evidence	ECO:0000222	A type of high throughput nucleotide sequencing evidence in which sequence is determined through hybridization of adaptor-ligated DNA to a glass slide on which each fragment is simultaneously clonally amplified, followed by progressive rounds of base incorporation with fluorescently-tagged nucleotides, washing, imaging, and cleavage.	Solexa sequencing result
454 pyrosequencing evidence	ECO:0000223	A type of high throughput nucleotide sequencing evidence in which the sequence for a ssDNA is determined by addition of primers and then nucleotides, one base pair at a time (which generate a specific fluorescence), to the target strand.	pyrosequencing
SOLiD sequencing evidence	ECO:0000224	A type of high throughput nucleotide sequencing evidence in which sequence is determined through rounds of ligation-based sequencing with fluorescently-labeled Di-base probes and cleavage, after which the template is reset, with a primer offset by one base, for subsequent rounds of ligation.	
chain termination sequencing evidence	ECO:0000225	A type of nucleotide sequencing assay in which DNA sequence is determined by addition of a primed DNA template to a reaction mixture, followed by addition of DNA polymerase, deoxynucleosidetriphosphates (dNTPs - one of which may be radiolabeled), and one of four di-deoxynucleotidetriphosphates (ddNTPs), after which DNA elongation is terminated and the DNA is separated by size and imaged.	dye terminator sequencing|Sanger sequencing
chromatin immunoprecipitation evidence	ECO:0000226	A type of immunoprecipitation evidence that is used to identify a protein binding site on a genomic DNA sequence.	ChIP evidence
chromatin immunoprecipitation-PCR evidence	ECO:0000227	A type of chromatin immunoprecipitation evidence that uses polymerase chain reaction (PCR) where specific primers are used on the pulled-down DNA for DNA detection.	ChIP-PCR evidence
chromatin immunoprecipitation-qPCR evidence	ECO:0000228	A type of chromatin immunoprecipitation evidence in which protein-DNA interactions are investigated at known genomic binding sites through a process of ChIP, DNA purification, and finally quantitative polymerase chain reaction (qPCR) for DNA detection.	ChIP-qPCR evidence
chromatin immunoprecipitation-seq evidence	ECO:0000229	A type of chromatin immunoprecipitation evidence that uses high-throughput sequencing where immunoprecipitated DNA fragments are funnelled into a massively parallel sequencer to produce multiple short reads for locating binding sites of DNA-associated proteins.	ChIP-SEQ evidence|ChIP-seq evidence
chromatin immunoprecipitation-chip evidence	ECO:0000230	A type of chromatin immunoprecipitation evidence that uses a tiling microarray for the detection of protein-bound DNA regions where chromatin is immunoprecipitated for protein tagging and DNA is sheared from the cross-linked protein-DNA complex to be arrayed revealing the protein-bound genomic regions.	ChIP-chip evidence|ChIP-on-chip evidence
quantitative polymerase chain reaction evidence	ECO:0000231	A type of DNA detection assay evidence where the reaction product is quantified in real-time across cycles by means of fluorescent dyes or fluorescent probes for detection and quantification of specific sequences in a DNA sample.	Q-PCR evidence|qPCR evidence|qRT-PCR evidence|quantitative PCR evidence|quantitative real-time PCR evidence|real time polymerase chain reaction evidence|real-time PCR evidence|real-time quantitative PCR
