template_name	template_description	template_tier	column_name	subject	evidence	role	description	mime_type	numeric_units	url_template	refers_to
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	gsea_score		numeric	computed	Gene set enrichment score for gene's regulatory targets in T-ALL glucocorticoid resistance signature				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	mr_gsea_p_value		numeric	computed	"P-value of T-ALL Master Regulator evidence by treating all regulons as one gene set, for enrichment of gene's regulatory targets in glucocorticoid resistance signature"				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	mr_gsea_fdr		numeric	computed	"FDR of T-ALL Master Regulator evidence by treating all regulons as one gene set, for enrichment of gene's regulatory targets in glucocorticoid resistance signature"				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	num_shRNAs		numeric	context	The number of shRNA hairpins for this gene in the tested library				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	cell_line_1	cell_line		context	T-ALL cell line in which shRNA knockdown tested				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	lineage_1	lineage		context					
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	cell_line_2	cell_line		context	T-ALL cell line in which shRNA knockdown tested				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	lineage_2	lineage		context					
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	shrna_diff_rep_z_score_CUTLL1_HPB		numeric	computed	Combined z-statistic  for shRNA knockdown differential representation in CUTLL1 and HPB-ALL lines				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	shrna_diff_rep_p_value_CUTLL1_HPB		numeric	computed	Combined p-value for shRNA knockdown differential representation in  CUTLL1 and HPB-ALL lines				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	shrna_diff_rep_fdr_CUTLL1_HPB		numeric	computed	Benjamini-Hochberg False Discovery Rate for shRNA knockdown combined differential representation in CUTLL1 and HPB-ALL cell lines				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	shrna_diff_rep_net_direction_CUTLL1_HPB		label	context	Direction of net significant shRNA knockdown differential representation in CUTLL1 and HPB-ALL lines				
